card_id,note_excerpt,draft_note
agriculture__water_scarcity__drought__001,"Drought as a causal pathway for water scarcity in semi-arid Deccan agriculture should be confirmed by at least two of the three primary signals: persistent severe or moderate drought weeks (sig_01), extended dry spells (sig_02), or composit","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__002,"Meteorological and agricultural drought in semi-arid hard rock plateau settings should be confirmed by at least two primary signals: elevated drought_weeks_severe or dry_spell_weeks, and a composite drought_causality_json showing co-occurri","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__003,"Drought-driven water scarcity in the AER-9 sub-humid alluvial plains should be confirmed by at least two independent signals: (1) elevated drought_weeks_severe or dry_spell_weeks indicating intra-seasonal moisture deficit, and (2) SPI/VCI/M","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (drought_causality), sig_03 (dry_spell_weeks), sig_04 (seasonal_precipitation_mm, precipitation_mm). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__004,"Diagnosis of the drought causal pathway in arid and semi-arid alluvial plains (AER-2, AER-4) should be confirmed by at least two of the three primary signals: persistent severe/moderate drought weeks (sig_01), extended dry spells (sig_02), ","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__008,"Drought-driven water scarcity in the sub-humid Eastern Plateau (AER-11) should be confirmed by at least two of the three primary signals: elevated drought week counts (sig_01), prolonged dry spells (sig_02), or composite SPI-MAI-VCI drought","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__010,"In the humid and perhumid alluvial plains of AER-15 (West Bengal, Assam, eastern Bihar), water scarcity from drought is a paradoxical but real phenomenon: high mean annual rainfall masks significant inter-annual and intra-seasonal variabili","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality), sig_04 (monsoon_onset_date, seasonal_precipitation_mm). Amplifying signals (do not alone confirm): sig_05 (precipitation_mm)."
agriculture__water_scarcity__drought__011,"Drought diagnosis in sub-humid hilly terrain (AER-14: Himachal Pradesh, Uttarakhand, Jammu division) requires confirmation from at least two independent signal types: (1) direct drought intensity metrics (sig_01: severe/moderate drought wee","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality), sig_04 (seasonal_precipitation_mm, precipitation_mm). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__013,"In the perhumid North-Eastern Hills (AER-17), absolute annual drought is rare given 2000–12000 mm of rainfall, but intra-seasonal dry spells and delayed monsoon onset can cause significant crop water stress. Diagnosis should require at leas","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__014,"Diagnosis of the drought pathway in AER-5 semi-arid hard rock terrain requires confirmation from at least two independent signals: (1) a direct drought intensity measure (sig_01: severe/moderate drought weeks, or sig_05: SPI+VCI composite),","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_05 (drought_causality), sig_02 (dry_spell_weeks), sig_03 (precipitation_mm, seasonal_precipitation_mm). Amplifying signals (do not alone confirm): sig_04 (monsoon_onset_date)."
agriculture__water_scarcity__drought__015,"In the humid and perhumid West Coast zone (AER-19), drought is paradoxical — annual rainfall is among the highest in India (2000–5000 mm) yet intra-seasonal dry spells and delayed monsoon onset can cause acute crop water stress. Diagnosis s","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality), sig_04 (seasonal_precipitation_mm, precipitation_mm). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__drought__016,"Drought confirmation in the Ladakh cold arid context requires at least two converging signals: (1) a quantitative drought week count (sig_01) or dry spell count (sig_02) confirming within-season stress, AND (2) either a precipitation defici","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (precipitation_mm, seasonal_precipitation_mm), sig_05 (drought_causality). Amplifying signals (do not alone confirm): sig_04 (monsoon_onset_date)."
agriculture__water_scarcity__drought__017,"For island ecoregions (AER-20: Andaman & Nicobar, Lakshadweep), drought diagnosis requires at least two confirming signals from: (1) severe or moderate drought weeks exceeding thresholds, (2) prolonged dry spell weeks, or (3) composite SPI/","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality), sig_04 (seasonal_precipitation_mm, precipitation_mm). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date)."
agriculture__water_scarcity__groundwater_stress__001,"Groundwater stress in hard rock aquifers of the Deccan Plateau should be confirmed by at least two of the three primary signals: elevated SOGE (sig_01), chronic negative delta_g trend (sig_02), or farmer-reported well deepening (sig_05). Ha","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field "
agriculture__water_scarcity__groundwater_stress__002,"Groundwater stress in hard rock crystalline basement aquifers of the Deccan Plateau and Eastern Ghats should be confirmed by at least two primary signals: elevated SOGE (sig_01), chronic negative groundwater balance trend (sig_02), or farme","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field "
agriculture__water_scarcity__groundwater_stress__003,"Groundwater stress in Indo-Gangetic alluvial aquifers should be confirmed by at least two of the three primary signals: elevated SOGE (>90% or Critical/Over-exploited classification), chronic negative delta_g trend, and farmer-reported bore","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, gr"
