dominant_lithology,mws_aer,acwadam_class,acwadam_source,card_aquifer_filter,aer_retrieval_neighbors,eligible_cluster_suffixes,eligible_cluster_count,unique_cluster_available,preferred_cluster_suffix,eligible_cluster_labels,pathways_by_cluster,cluster_match_description,non_llm_selection_note,non_llm_retrieval_pool,non_llm_pathways_loaded,non_llm_selected_cluster_suffixes,non_llm_resolved_cluster_suffix,non_llm_resolved_cluster_label,non_llm_pathway_cluster_map,non_llm_simulation_note,mws_count
Alluvium,AER-1,alluvium,lithology+aer,alluvium,AER-1;AER-14;AER-2;AER-4,004,1,yes,004,004=Rajasthan-Gujarat arid alluvial,"004 (Rajasthan-Gujarat arid alluvial): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding","Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-1', 'AER-14', 'AER-2', 'AER-4']. Eligible CONTEXT_CLUSTERS (suffix=label): 004=Rajasthan-Gujarat arid alluvial. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-1.",Single cluster 004 (Rajasthan-Gujarat arid alluvial); each pathway uses its __004 card if present in Mongo.,aquifer+aer,8,004,004,Rajasthan-Gujarat arid alluvial,drought=004; encroachment=004; forest_degradation=004; groundwater_stress=004; irrigation_challenges=004; multi_sector_vulnerability=004; rainfed_risk=004; small_landholding=004,Aquifer+AER pool resolved all 8 pathways to cluster 004 (Rajasthan-Gujarat arid alluvial).,0
Alluvium,AER-2,alluvium,lithology+aer,alluvium,AER-2;AER-4;AER-5,004,1,yes,004,004=Rajasthan-Gujarat arid alluvial,"004 (Rajasthan-Gujarat arid alluvial): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding","Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-2', 'AER-4', 'AER-5']. Eligible CONTEXT_CLUSTERS (suffix=label): 004=Rajasthan-Gujarat arid alluvial. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-2.",Single cluster 004 (Rajasthan-Gujarat arid alluvial); each pathway uses its __004 card if present in Mongo.,aquifer+aer,8,004,004,Rajasthan-Gujarat arid alluvial,drought=004; encroachment=004; forest_degradation=004; groundwater_stress=004; irrigation_challenges=004; multi_sector_vulnerability=004; rainfed_risk=004; small_landholding=004,Aquifer+AER pool resolved all 8 pathways to cluster 004 (Rajasthan-Gujarat arid alluvial).,370
Alluvium,AER-3,alluvium,lithology+aer,alluvium,AER-3;AER-6;AER-7;AER-8,,0,no,,,,"Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-3', 'AER-6', 'AER-7', 'AER-8']. Eligible CONTEXT_CLUSTERS (suffix=label): none. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-3.",No cluster-matched cards; retriever falls back to AER-only pool for AER-3 (aquifer filter dropped).,aer_only_fallback,8,002,002,Peninsular crystalline semi-arid,drought=002; encroachment=002; forest_degradation=002; groundwater_stress=002; irrigation_challenges=002; multi_sector_vulnerability=002; rainfed_risk=002; small_landholding=002,No aquifer+cluster match; retriever used AER-only fallback and resolved all 8 pathways to cluster 002 (Peninsular crystalline semi-arid).,0
Alluvium,AER-4,alluvium,lithology+aer,alluvium,AER-4;AER-2;AER-5;AER-9,"003,004",2,no,004,003=Indo-Gangetic alluvial sub-humid; 004=Rajasthan-Gujarat arid alluvial,"003 (Indo-Gangetic alluvial sub-humid): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding | 004 (Rajasthan-Gujarat arid alluvial): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding","Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-4', 'AER-2', 'AER-5', 'AER-9']. Eligible CONTEXT_CLUSTERS (suffix=label): 003=Indo-Gangetic alluvial sub-humid, 004=Rajasthan-Gujarat arid alluvial. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-4.","Multiple clusters (003, 004); non-LLM picks one card per pathway from the union of eligible cards, preferring exact AER AER-4 on the card (else highest card_id). Typical direct-AER cluster for this row: 004.",aquifer+aer,8,004,004,Rajasthan-Gujarat arid alluvial,drought=004; encroachment=004; forest_degradation=004; groundwater_stress=004; irrigation_challenges=004; multi_sector_vulnerability=004; rainfed_risk=004; small_landholding=004,Aquifer+AER pool resolved all 8 pathways to cluster 004 (Rajasthan-Gujarat arid alluvial).,1588
Alluvium,AER-5,alluvium,lithology+aer,alluvium,AER-5;AER-2;AER-4;AER-6,004,1,yes,004,004=Rajasthan-Gujarat arid alluvial,"004 (Rajasthan-Gujarat arid alluvial): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding","Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-5', 'AER-2', 'AER-4', 'AER-6']. Eligible CONTEXT_CLUSTERS (suffix=label): 004=Rajasthan-Gujarat arid alluvial. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-5.",Single cluster 004 (Rajasthan-Gujarat arid alluvial); each pathway uses its __004 card if present in Mongo.,aquifer+aer,8,004,004,Rajasthan-Gujarat arid alluvial,drought=004; encroachment=004; forest_degradation=004; groundwater_stress=004; irrigation_challenges=004; multi_sector_vulnerability=004; rainfed_risk=004; small_landholding=004,Aquifer+AER pool resolved all 8 pathways to cluster 004 (Rajasthan-Gujarat arid alluvial).,172
Alluvium,AER-6,alluvium,lithology+aer,alluvium,AER-6;AER-3;AER-7;AER-8,,0,no,,,,"Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-6', 'AER-3', 'AER-7', 'AER-8']. Eligible CONTEXT_CLUSTERS (suffix=label): none. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-6.",No cluster-matched cards; retriever falls back to AER-only pool for AER-6 (aquifer filter dropped).,aer_only_fallback,8,001,001,Deccan basalt semi-arid (Vidarbha/Marathwada),drought=001; encroachment=001; forest_degradation=001; groundwater_stress=001; irrigation_challenges=001; multi_sector_vulnerability=001; rainfed_risk=001; small_landholding=001,No aquifer+cluster match; retriever used AER-only fallback and resolved all 8 pathways to cluster 001 (Deccan basalt semi-arid (Vidarbha/Marathwada)).,261
Alluvium,AER-7,alluvium,lithology+aer,alluvium,AER-7;AER-3;AER-6;AER-8,,0,no,,,,"Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-7', 'AER-3', 'AER-6', 'AER-8']. Eligible CONTEXT_CLUSTERS (suffix=label): none. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-7.",No cluster-matched cards; retriever falls back to AER-only pool for AER-7 (aquifer filter dropped).,aer_only_fallback,8,002,002,Peninsular crystalline semi-arid,drought=002; encroachment=002; forest_degradation=002; groundwater_stress=002; irrigation_challenges=002; multi_sector_vulnerability=002; rainfed_risk=002; small_landholding=002,No aquifer+cluster match; retriever used AER-only fallback and resolved all 8 pathways to cluster 002 (Peninsular crystalline semi-arid).,0
Alluvium,AER-8,alluvium,lithology+aer,alluvium,AER-8;AER-3;AER-6;AER-7,,0,no,,,,"Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-8', 'AER-3', 'AER-6', 'AER-7']. Eligible CONTEXT_CLUSTERS (suffix=label): none. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-8.",No cluster-matched cards; retriever falls back to AER-only pool for AER-8 (aquifer filter dropped).,aer_only_fallback,8,002,002,Peninsular crystalline semi-arid,drought=002; encroachment=002; forest_degradation=002; groundwater_stress=002; irrigation_challenges=002; multi_sector_vulnerability=002; rainfed_risk=002; small_landholding=002,No aquifer+cluster match; retriever used AER-only fallback and resolved all 8 pathways to cluster 002 (Peninsular crystalline semi-arid).,57
Alluvium,AER-9,alluvium,lithology+aer,alluvium,AER-9;AER-4;AER-10;AER-13,"003,004,009",3,no,003,003=Indo-Gangetic alluvial sub-humid; 004=Rajasthan-Gujarat arid alluvial; 009=Eastern Plains (Ganga-Brahmaputra middle),"003 (Indo-Gangetic alluvial sub-humid): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding | 004 (Rajasthan-Gujarat arid alluvial): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding | 009 (Eastern Plains (Ganga-Brahmaputra middle)): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding","Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-9', 'AER-4', 'AER-10', 'AER-13']. Eligible CONTEXT_CLUSTERS (suffix=label): 003=Indo-Gangetic alluvial sub-humid, 004=Rajasthan-Gujarat arid alluvial, 009=Eastern Plains (Ganga-Brahmaputra middle). Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-9.","Multiple clusters (003, 004, 009); non-LLM picks one card per pathway from the union of eligible cards, preferring exact AER AER-9 on the card (else highest card_id). Typical direct-AER cluster for this row: 003.",aquifer+aer,8,003,003,Indo-Gangetic alluvial sub-humid,drought=003; encroachment=003; forest_degradation=003; groundwater_stress=003; irrigation_challenges=003; multi_sector_vulnerability=003; rainfed_risk=003; small_landholding=003,Aquifer+AER pool resolved all 8 pathways to cluster 003 (Indo-Gangetic alluvial sub-humid).,816
Alluvium,AER-10,alluvium,lithology+aer,alluvium,AER-10;AER-5;AER-9;AER-7;AER-8,003,1,yes,003,003=Indo-Gangetic alluvial sub-humid,"003 (Indo-Gangetic alluvial sub-humid): drought, encroachment, forest_degradation, groundwater_stress, irrigation_challenges, multi_sector_vulnerability, rainfed_risk, small_landholding","Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-10', 'AER-5', 'AER-9', 'AER-7', 'AER-8']. Eligible CONTEXT_CLUSTERS (suffix=label): 003=Indo-Gangetic alluvial sub-humid. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-10.",Single cluster 003 (Indo-Gangetic alluvial sub-humid); each pathway uses its __003 card if present in Mongo.,aquifer+aer,8,003,003,Indo-Gangetic alluvial sub-humid,drought=003; encroachment=003; forest_degradation=003; groundwater_stress=003; irrigation_challenges=003; multi_sector_vulnerability=003; rainfed_risk=003; small_landholding=003,Aquifer+AER pool resolved all 8 pathways to cluster 003 (Indo-Gangetic alluvial sub-humid).,264
Alluvium,AER-11,alluvium,lithology+aer,alluvium,AER-11;AER-12;AER-10;AER-7;AER-8,,0,no,,,,"Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-11', 'AER-12', 'AER-10', 'AER-7', 'AER-8']. Eligible CONTEXT_CLUSTERS (suffix=label): none. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-11.",No cluster-matched cards; retriever falls back to AER-only pool for AER-11 (aquifer filter dropped).,aer_only_fallback,8,008,008,Chhattisgarh / Eastern Ghats sub-humid,drought=008; encroachment=008; forest_degradation=008; groundwater_stress=008; irrigation_challenges=008; multi_sector_vulnerability=008; rainfed_risk=008; small_landholding=008,No aquifer+cluster match; retriever used AER-only fallback and resolved all 8 pathways to cluster 008 (Chhattisgarh / Eastern Ghats sub-humid).,178
Alluvium,AER-12,alluvium,lithology+aer,alluvium,AER-12;AER-11;AER-10;AER-7;AER-8,,0,no,,,,"Dominant lithology Alluvium -> ACWADAM alluvium. Retrieval filters evidence cards where aquifer_tags matches ['alluvium'] AND aer_tags intersects MWS neighbour set ['AER-12', 'AER-11', 'AER-10', 'AER-7', 'AER-8']. Eligible CONTEXT_CLUSTERS (suffix=label): none. Non-LLM diagnosis then picks one card per causal_pathway from that pool, preferring a card whose aer_tags includes exact MWS AER AER-12.",No cluster-matched cards; retriever falls back to AER-only pool for AER-12 (aquifer filter dropped).,aer_only_fallback,8,007,007,Chhota Nagpur / Eastern Plateau sub-humid,drought=007; encroachment=007; forest_degradation=007; groundwater_stress=007; irrigation_challenges=007; multi_sector_vulnerability=007; rainfed_risk=007; small_landholding=007,No aquifer+cluster match; retriever used AER-only fallback and resolved all 8 pathways to cluster 007 (Chhota Nagpur / Eastern Plateau sub-humid).,1379
