card_id,severity,code,detail
agriculture__water_scarcity__drought__002,warn,policy_extra_primary,"policy primary set includes sig_01, sig_02, sig_03 not in note-derived primary ['sig_04']"
agriculture__water_scarcity__drought__002,warn,policy_missing_primary,"note-derived primary ['sig_04'] missing from policy primary ['sig_01', 'sig_02', 'sig_03']"
agriculture__water_scarcity__groundwater_stress__003,warn,policy_extra_primary,"policy primary set includes sig_01, sig_02, sig_05 not in note-derived primary ['sig_03']"
agriculture__water_scarcity__groundwater_stress__003,warn,policy_missing_primary,"note-derived primary ['sig_03'] missing from policy primary ['sig_01', 'sig_02', 'sig_05']"
agriculture__water_scarcity__groundwater_stress__015,warn,policy_extra_primary,"policy primary set includes sig_01, sig_02, sig_05 not in note-derived primary ['sig_03']"
agriculture__water_scarcity__groundwater_stress__015,warn,policy_missing_primary,"note-derived primary ['sig_03'] missing from policy primary ['sig_01', 'sig_02', 'sig_05']"
agriculture__water_scarcity__irrigation_challenges__005,warn,min_confirms_mismatch,"note implies min 1, policy has min_confirms_true=2"
agriculture__water_scarcity__irrigation_challenges__009,warn,min_confirms_mismatch,"note implies min 1, policy has min_confirms_true=2"
agriculture__water_scarcity__rainfed_risk__002,warn,policy_missing_primary,"note-derived primary ['sig_05', 'sig_06'] missing from policy primary ['sig_01', 'sig_02', 'sig_03']"
agriculture__water_scarcity__rainfed_risk__007,warn,min_confirms_mismatch,"note implies min 3, policy has min_confirms_true=2"
agriculture__water_scarcity__rainfed_risk__008,warn,policy_missing_primary,"note-derived primary ['sig_06'] missing from policy primary ['sig_01', 'sig_02', 'sig_04', 'sig_05']"
agriculture__water_scarcity__rainfed_risk__011,warn,policy_missing_primary,"note-derived primary ['sig_06'] missing from policy primary ['sig_01', 'sig_02', 'sig_03', 'sig_05']"
agriculture__water_scarcity__rainfed_risk__014,warn,policy_missing_primary,"note-derived primary ['sig_06'] missing from policy primary ['sig_01', 'sig_02', 'sig_03', 'sig_05']"
agriculture__water_scarcity__rainfed_risk__015,warn,policy_missing_primary,"note-derived primary ['sig_06'] missing from policy primary ['sig_01', 'sig_02', 'sig_04', 'sig_05']"
agriculture__water_scarcity__rainfed_risk__017,warn,policy_missing_primary,"note-derived primary ['sig_06'] missing from policy primary ['sig_01', 'sig_02', 'sig_03', 'sig_05']"
ntfp_forest_biodiversity__ntfp_decline__encroachment__001,warn,min_confirms_mismatch,"note implies min 1, policy has min_confirms_true=2"
ntfp_forest_biodiversity__ntfp_decline__encroachment__003,warn,min_confirms_mismatch,"note implies min 1, policy has min_confirms_true=2"
ntfp_forest_biodiversity__ntfp_decline__encroachment__004,warn,min_confirms_mismatch,"note implies min 1, policy has min_confirms_true=2"
ntfp_forest_biodiversity__ntfp_decline__encroachment__006,warn,min_confirms_mismatch,"note implies min 1, policy has min_confirms_true=2"
ntfp_forest_biodiversity__ntfp_decline__encroachment__012,warn,min_confirms_mismatch,"note implies min 1, policy has min_confirms_true=2"
ntfp_forest_biodiversity__ntfp_decline__encroachment__017,warn,policy_missing_primary,"note-derived primary ['sig_06'] missing from policy primary ['sig_01', 'sig_02', 'sig_04', 'sig_05']"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,warn,policy_extra_primary,"policy primary set includes sig_01, sig_02, sig_03 not in note-derived primary ['sig_05']"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,warn,policy_missing_primary,"note-derived primary ['sig_05'] missing from policy primary ['sig_01', 'sig_02', 'sig_03']"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__012,warn,policy_extra_primary,"policy primary set includes sig_01, sig_02, sig_03 not in note-derived primary ['sig_05']"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__012,warn,policy_missing_primary,"note-derived primary ['sig_05'] missing from policy primary ['sig_01', 'sig_02', 'sig_03']"
socio_economic__low_income__small_landholding__012,warn,policy_extra_primary,"policy primary set includes sig_05, sig_07 not in note-derived primary ['sig_01']"
socio_economic__low_income__small_landholding__012,error,amplifier_in_policy_primary,sig_07 is direction=amplifies but in policy primary set
