fingerprint,card_count,example_card_id,signal_id,direction,variables,expression,qualitative_excerpt
10c9a8f100de2a85,2,agriculture__water_scarcity__drought__001,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or (drought_weeks_severe[-1] >= 1 and drought_weeks_moderate[-1] >= 4),"Three or more severe drought weeks in the latest kharif season, or at least one severe week combined with four or more moderate weeks, indicates a drought episode sufficient to cau"
cca530f3b72b1cc6,1,agriculture__water_scarcity__drought__001,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate prolonged moisture deficit disrupting crop growth stages.
1f298907097fa0d4,1,agriculture__water_scarcity__drought__001,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 and drought_mild_vci_score_latest >= 26,SPI at or below -1.0 (moderate to severe meteorological drought) combined with VCI below 40 (moderate vegetation stress) confirms co-occurrence of meteorological and agricultural d
dbe22a965746031c,1,agriculture__water_scarcity__drought__001,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","(seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm) or (mean_annual_precipitation_mm < 700 and trend_annual_precipitation_mm < -5)","Kharif seasonal rainfall below 75% of the long-run annual mean, or a declining multi-year precipitation trend below 700 mm/year, confirms structural rainfall deficit underpinning d"
7e3514a630dad403,1,agriculture__water_scarcity__drought__001,sig_05,amplifies,monsoon_onset_date,(monsoon_onset_date[-1] - monsoon_onset_date[0]) > 7,"Monsoon onset in the latest year is more than 7 days later than the earliest year in the record, indicating a trend toward delayed onset that shortens the effective kharif growing "
e2e00a357486f5cc,2,agriculture__water_scarcity__drought__002,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate prolonged moisture deficit disrupting critical crop growth st
84d26567596c94f3,1,agriculture__water_scarcity__drought__002,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 and (drought_mild_mai_score_latest >= 26 or drought_mild_vci_score_latest >= 26),SPI below -1.0 (moderate to severe meteorological drought) combined with MAI below 0.5 (soil moisture inadequacy) or VCI below 0.35 (significant vegetation stress) confirms co-occu
5bfbaaa65c500d35,1,agriculture__water_scarcity__drought__002,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm and trend_annual_precipitation_mm < 0","Latest kharif seasonal rainfall is below 75% of the long-term mean annual precipitation, and the multi-year annual precipitation trend is declining, confirming a structural rainfal"
a7c1cf71bf60ec10,1,agriculture__water_scarcity__drought__002,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] and (monsoon_onset_date[-1] - monsoon_onset_date[0]) > 7,"Monsoon onset in the latest year is more than 7 days later than the earliest year in the record, indicating a systematic delay that shortens the effective kharif growing season."
a830d12b798b42b1,1,agriculture__water_scarcity__drought__003,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or (drought_weeks_severe[-1] >= 1 and drought_weeks_moderate[-1] >= 4),"Three or more severe drought weeks in the latest kharif season, or co-occurrence of at least one severe week with four or more moderate weeks, indicates sustained crop-season water"
67a9d8d6963f7481,1,agriculture__water_scarcity__drought__003,sig_02,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) or drought_mild_vci_score_latest >= 26 or drought_mild_mai_score_latest >= 26,"SPI class indicates moderate to extreme meteorological drought, or VCI below 35 signals significant vegetation stress, or MAI below 0.5 indicates soil moisture inadequacy — any one"
7dd23add80b1e22d,1,agriculture__water_scarcity__drought__003,sig_03,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with less than 50% historical rainfall) in the latest kharif season indicate prolonged moisture deficit disrupting critical crop 
877c8107eb05fb64,1,agriculture__water_scarcity__drought__003,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","seasonal_precipitation_mm[-1].get('kharif', 0) < 0.75 * mean_annual_precipitation_mm or mean_annual_precipitation_mm < 700 or trend_annual_precipitation_mm < -5","Kharif seasonal rainfall below 75% of the long-term annual mean, or mean annual precipitation below 700 mm, or a declining trend exceeding 5 mm/year confirms structural precipitati"
8a0463ae3d62c161,1,agriculture__water_scarcity__drought__003,sig_05,amplifies,monsoon_onset_date,drought_severe_return_period < 5 or (monsoon_onset_date[-1] > monsoon_onset_date[0] and drought_weeks_severe[-1] >= 2),"Severe drought return period shorter than 5 years, or a later monsoon onset in the most recent year combined with at least 2 severe drought weeks, indicates increasing drought freq"
11efae30a0cc443b,1,agriculture__water_scarcity__drought__004,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 4 or (drought_weeks_severe[-1] >= 2 and drought_weeks_moderate[-1] >= 4),"Four or more severe drought weeks in the latest kharif season, or a combined pattern of at least 2 severe and 4 moderate weeks, indicates persistent crop-season water deficit suffi"
7201c4eaaf1f2360,1,agriculture__water_scarcity__drought__004,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 6,Six or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate prolonged moisture stress disrupting multiple crop growth stag
5533d398185940d6,1,agriculture__water_scarcity__drought__004,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 and drought_mild_mai_score_latest >= 26 and drought_mild_vci_score_latest >= 26,"SPI at or below -1.0 (moderate meteorological drought), MAI below 0.5 (soil moisture inadequacy), and VCI below 35 (significant vegetation stress) together confirm concurrent meteo"
